name,district,foods:prices,opening_time,closing_time,number_of_tables
Felicity,Aghdasie,pizza:250000;burger:200000;steak:350000,10,22,4
TasteVille,Nobonyad,hotdog:180000;shawarma:220000;fries:90000,11,23,3
GreenGarden,Golzar,pasta:270000;salad:150000;sandwich:190000,9,21,2
BiteBazaar,Ozgol,kebab:300000;rice:100000;soup:120000,12,20,3
SaffronCorner,Mahalati,fish:400000;lobster:600000;shrimp:450000,10,24,2
UrbanGrill,Ghaem,steak:400000;burger:250000;hotdog:200000,11,23,5
RusticEats,Sohanak,pizza:220000;shawarma:240000;noodles:200000,9,22,3
CozyBites,Laleh,soup:150000;rice:120000;chicken:300000,10,20,2
EliteDining,Niavaran,steak:450000;burger:280000;fries:100000,11,24,4
FlavorHub,Andarzgoo,salad:150000;shawarma:230000;pasta:250000,9,21,3
GoldenSpoon,Aghdasie,ravioli:300000;burger:180000;pizza:250000,11,22,5
MetroEats,Nobonyad,noodles:210000;pasta:240000;hotdog:150000,9,21,2
SkylineBistro,Golzar,kebab:280000;burger:200000;steak:400000,12,23,3
VillageGrill,Ozgol,chicken:350000;shawarma:230000;rice:140000,10,22,4
RoyalTaste,Mahalati,lobster:600000;salmon:500000;shrimp:450000,9,23,2
UrbanEats,Ghaem,pizza:250000;hotdog:180000;burger:260000,11,24,4
SpiceHub,Sohanak,shawarma:220000;noodles:230000;fries:90000,10,21,3
CottageMeals,Laleh,salad:150000;chicken:280000;soup:130000,9,22,3
ParkLane,Niavaran,burger:200000;pizza:270000;steak:400000,11,23,5
FusionBites,Andarzgoo,kebab:300000;pasta:260000;rice:150000,10,21,4
BurgerHouse,Aghdasie,burger:250000;fries:100000;shake:90000,12,23,2
ShawarmaPoint,Nobonyad,shawarma:200000;pasta:240000;rice:130000,9,20,3
OceanEats,Golzar,fish:400000;shrimp:450000;squid:350000,10,24,2
RiversideCafe,Ozgol,cappuccino:80000;cake:120000;tea:50000,9,21,1
GourmetCorner,Mahalati,steak:500000;burger:300000;kebab:350000,11,23,5
TasteHeaven,Ghaem,noodles:200000;pizza:250000;shawarma:230000,10,21,4
Flavorscape,Sohanak,salad:150000;soup:130000;rice:140000,9,22,3
TableGrill,Laleh,chicken:300000;burger:260000;shawarma:250000,11,23,3
DeliDelight,Niavaran,soup:150000;fries:100000;salad:120000,10,22,2
FreshFeast,Andarzgoo,pasta:270000;chicken:350000;steak:400000,11,24,5
